awbNo,Order No.,Client Name,Order Branch,Origin,Destination,Destination Latitude,Destination Longitude,Order Type,Order State,Delivery Type,Delivery Location Type,Order Date,Start Date,End Date,Notes,Payment Type,Order Value,Re-calculated Value,Amount Collected,Payment Subtype,Transaction Id,Cash Mismatch Reason,Opening Cash,Closing Cash,Status,Planned Service Time,Service Time,Delivery Associate,DB Employee ID,Assigned Through,Trip,Planned Checkout Time,Start Time (Actual),End Time (Actual),Planned Distance,Actual Distance Travelled,Actual Distance from Hub,Actual Tracked Distance,Start Time (Planned),End Time (Planned),Time Taken (Difference in Mins.),Check-in Time,Check-out Time,Check-in Latitude,Check-in Longitude,Check-out Latitude,Check-out Longitude,Order Sequence,Vendor/Customer code,Customer Name,POD count,No. of Crates,Weight (Kg),Volume (Cc),Customer comments,Reason,Ratings,No. of Attempts,Territory Enter Time,Territory Exit Time,Delayed,Delayed by (Mins),Scan Status,Parent Order No,Territory Name,Priority
Ord_2414871_File,=("Ord_4429968_File"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,Delivery Boy,,"15, Jun 2019 09:05 PM","15, Jun 2019 10:10 PM","15, Jun 2019 10:40 PM",,COD,2000.0000,-,0.0000,-,-,-,,,Not Dispatched,10,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_2256,User_7568,,6,4.0,500.0,,-,0.0,0,NA,NA,N,-,-,-,Geofence Not Mapped,-
Awb_4128637,=("ord_174759579993_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"15, Jun 2019 08:47 PM","15, Jun 2019 08:52 PM","15, Jun 2019 09:22 PM",,COD,200.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.739,,=(""),=(""),,=(""),=(""),,,,,,Cust_1152,User_9999,,2,10.0,10.1,,-,0.0,0,NA,NA,Y,2,-,-,Geofence Not Mapped,-
Awb_7112236,=("ord_802330240955_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"15, Jun 2019 08:45 PM","15, Jun 2019 09:50 PM","15, Jun 2019 10:20 PM",,COD,200.0000,-,0.0000,-,-,-,,,CANCELLED,15,-,,-,-,,=(""),"15, Jun 2019 09:08 PM","15, Jun 2019 09:08 PM",0.0,,0.42653268575668335,,=(""),=(""),0,=(""),"15, Jun 2019 09:08 PM",,,,,,Cust_7959,User_1181,,2,10.0,10.1,,Delivery Boy not available,0.0,0,NA,NA,N,-,-,-,Geofence Not Mapped,-
Awb_9796259,=("ord_904077127203_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"15, Jun 2019 08:41 PM","15, Jun 2019 09:46 PM","15, Jun 2019 10:16 PM",,COD,200.0000,-,0.0000,-,-,-,,,Attempted Delivery,15,-,,-,-,,=(""),"15, Jun 2019 09:04 PM","15, Jun 2019 09:04 PM",0.0,,0.42653268575668335,,=(""),=(""),0,=(""),"15, Jun 2019 09:04 PM",,,0.0,0.0,,Cust_5495,User_5132,,2,10.0,10.1,,No customer at delivery location,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
Awb_4282855,=("ord_654339654165_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"15, Jun 2019 08:39 PM","15, Jun 2019 09:44 PM","15, Jun 2019 10:14 PM",,COD,200.0000,200.0000,200.0000,-,-,-,,,Delivered,15,-,,-,-,,=(""),"15, Jun 2019 09:02 PM","15, Jun 2019 09:02 PM",0.0,,0.42653268575668335,,=(""),=(""),0,=(""),"15, Jun 2019 09:02 PM",,,,,,Cust_5089,User_5835,,2,10.0,10.1,,-,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
Awb_0314420,=("ord_653530619259_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Powai,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1115,72.9093,Delivery,Forward,,,"15, Jun 2019 08:37 PM","15, Jun 2019 08:42 PM","15, Jun 2019 09:12 PM",,COD,200.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,0.42653268575668335,,=(""),=(""),,=(""),=(""),,,,,,Cust_5854,User_6770,,2,10.0,10.1,,-,0.0,0,NA,NA,Y,12,-,-,Geofence Not Mapped,-
Ord_1214579_File,=("OrdWallets_9912223_File"),Account_Test,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Powai,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,Delivery Boy,,"15, Jun 2019 10:06 AM","15, Jun 2019 11:11 AM","15, Jun 2019 11:41 AM",,COD,2000.0000,2000.0000,2000.0000,-,-,-,,,Delivered,10,-,,-,-,,=(""),"15, Jun 2019 10:25 AM","15, Jun 2019 10:25 AM",0.0,,18.998411178588867,,=(""),=(""),0,=(""),"15, Jun 2019 10:25 AM",,,,,,Cust_8796,User_9110,,6,4.0,500.0,,-,0.0,1,NA,NA,N,-,-,-,Geofence Not Mapped,-
Ord_3129485_test,=("Ord_8996070_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:33 AM","15, Jun 2019 06:23 AM","15, Jun 2019 06:53 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Intransit,15,-,User_4687755,6437447,Planning,TRIP-9746,"15, Jun 2019 01:00 AM","15, Jun 2019 12:04 AM",=(""),20.71,,18.998411178588867,,"15, Jun 2019 12:04 AM","15, Jun 2019 01:00 AM",,=(""),=(""),,,,,1,Cust_9788,User_9585,,10,,,,-,0.0,0,NA,NA,Y,871,-,-,Geofence Not Mapped,-
Ord_7175515_test,=("Ord_WH_8202438325_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:32 AM","15, Jun 2019 06:22 AM","15, Jun 2019 06:52 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_8651,User_8418,,10,,,,-,0.0,0,NA,NA,Y,872,-,-,Geofence Not Mapped,-
Ord_3199903_test,=("Ord_6239706_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:31 AM","15, Jun 2019 06:21 AM","15, Jun 2019 06:51 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Intransit,15,-,User_9942958,6267685,Planning,TRIP-9744,"15, Jun 2019 12:58 AM","15, Jun 2019 12:02 AM",=(""),20.71,,18.998411178588867,,"15, Jun 2019 12:02 AM","15, Jun 2019 12:58 AM",,=(""),=(""),,,,,1,Cust_0821,User_9792,,10,,,,-,0.0,0,NA,NA,Y,873,-,-,Geofence Not Mapped,-
Ord_4938354_test,=("Ord_WH_1354304363_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:30 AM","15, Jun 2019 06:20 AM","15, Jun 2019 06:50 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_2925,User_5829,,10,,,,-,0.0,0,NA,NA,Y,873,-,-,Geofence Not Mapped,-
Ord_7117881_test,=("Ord_9461320_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:29 AM","15, Jun 2019 06:19 AM","15, Jun 2019 06:49 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Intransit,15,-,User_1934823,8297915,Planning,TRIP-9742,"15, Jun 2019 12:56 AM","15, Jun 2019 12:00 AM",=(""),20.71,,18.998411178588867,,"15, Jun 2019 12:00 AM","15, Jun 2019 12:56 AM",,=(""),=(""),,,,,1,Cust_6141,User_6907,,10,,,,-,0.0,0,NA,NA,Y,875,-,-,Geofence Not Mapped,-
Ord_3401236_test,=("Ord_WH_5414630368_test"),Test Automation Client,Test Automation Client Main Branch,Test Automation Client Main Branch,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:29 AM","15, Jun 2019 06:19 AM","15, Jun 2019 06:49 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,5.777494430541992,,=(""),=(""),,=(""),=(""),,,,,,Cust_0521,User_3266,,10,,,,-,0.0,0,NA,NA,Y,875,-,-,Geofence Not Mapped,-
Ord_4867765_test,=("Ord_7946818_test"),Test Automation Client,Mumbai,Mumbai,"A901 Supreme Business Park,South Avenue,Near Hiranandani Gardens,Mumbai,Maharashtra,INDIA,400076",19.1093,72.8545,Delivery,Forward,,,"10, Jun 2019 05:21 AM","15, Jun 2019 06:11 AM","15, Jun 2019 06:41 AM",,Prepaid,0.0000,-,0.0000,-,-,-,,,Not Dispatched,15,-,,-,-,,=(""),=(""),=(""),0.0,,18.998411178588867,,=(""),=(""),,=(""),=(""),,,,,,Cust_0281,User_1780,,10,,,,-,0.0,0,NA,NA,Y,882,-,-,Geofence Not Mapped,-
